999, 19571, 1, 0, 0
1999, 19984, 1, 0, 0
3000, 18717, 1, 0, 0
4000, 19488, 1, 0, 0
5001, 19872, 1, 0, 0
6002, 18813, 1, 0, 0
7002, 19735, 1, 0, 0
8002, 19219, 1, 0, 0
9001, 19587, 1, 0, 0
10001, 19639, 1, 0, 0
11001, 18146, 1, 0, 0
12001, 19747, 1, 0, 0
13001, 19187, 1, 0, 0
14001, 19507, 1, 0, 0
15002, 19136, 1, 0, 0
16002, 19475, 1, 0, 0
17002, 19627, 1, 0, 0
18002, 19395, 1, 0, 0
19001, 19891, 1, 0, 0
20001, 18870, 1, 0, 0
21001, 19487, 1, 0, 0
22002, 20000, 1, 0, 0
23002, 18630, 1, 0, 0
24002, 19615, 1, 0, 0
25002, 19539, 1, 0, 0
26002, 19891, 1, 0, 0
27001, 18530, 1, 0, 0
28001, 19251, 1, 0, 0
29002, 19984, 1, 0, 0
30002, 19267, 1, 0, 0
31002, 20020, 1, 0, 0
32002, 18610, 1, 0, 0
33002, 19187, 1, 0, 0
34001, 20116, 1, 0, 0
35001, 17889, 1, 0, 0
36001, 19631, 1, 0, 0
37001, 19175, 1, 0, 0
38002, 19680, 1, 0, 0
39002, 19123, 1, 0, 0
40002, 19219, 1, 0, 0
41002, 19491, 1, 0, 0
42002, 19491, 1, 0, 0
43001, 19827, 1, 0, 0
44001, 18966, 1, 0, 0
45002, 19340, 1, 0, 0
46002, 19811, 1, 0, 0
47002, 18850, 1, 0, 0
48002, 19331, 1, 0, 0
49002, 19363, 1, 0, 0
50001, 19959, 1, 0, 0
51001, 18930, 1, 0, 0
52002, 18736, 1, 0, 0
53002, 19667, 1, 0, 0
54002, 19015, 1, 0, 0
55002, 19487, 1, 0, 0
56001, 18898, 1, 0, 0
57001, 19427, 1, 0, 0
58002, 19056, 1, 0, 0
59002, 19411, 1, 0, 0
