999, 9920, 1, 0, 0
1999, 9718, 1, 0, 0
3000, 9772, 1, 0, 0
4001, 9484, 1, 0, 0
5002, 9638, 1, 0, 0
6002, 9620, 1, 0, 0
7003, 9744, 1, 0, 0
8004, 9876, 1, 0, 0
9004, 9398, 1, 0, 0
10005, 9738, 1, 0, 0
11006, 9352, 1, 0, 0
12006, 9624, 1, 0, 0
13007, 9594, 1, 0, 0
14008, 9468, 1, 0, 0
15009, 9888, 1, 0, 0
16009, 9770, 1, 0, 0
17010, 9530, 1, 0, 0
18010, 9555, 1, 0, 0
19009, 9669, 1, 0, 0
20010, 9570, 1, 0, 0
21010, 9462, 1, 0, 0
22010, 9801, 1, 0, 0
23010, 9577, 1, 0, 0
24010, 9548, 1, 0, 0
25010, 9745, 1, 0, 0
26010, 9651, 1, 0, 0
27010, 9810, 1, 0, 0
28010, 9764, 1, 0, 0
29010, 9732, 1, 0, 0
30010, 9600, 1, 0, 0
31010, 9627, 1, 0, 0
32010, 9507, 1, 0, 0
33010, 9556, 1, 0, 0
34010, 9677, 1, 0, 0
35010, 9791, 1, 0, 0
36010, 9454, 1, 0, 0
37010, 9683, 1, 0, 0
38010, 9463, 1, 0, 0
39010, 9726, 1, 0, 0
40010, 9695, 1, 0, 0
41009, 9771, 1, 0, 0
42010, 9398, 1, 0, 0
43010, 9717, 1, 0, 0
44010, 9874, 1, 0, 0
45010, 9379, 1, 0, 0
46010, 9853, 1, 0, 0
47010, 9610, 1, 0, 0
48010, 9663, 1, 0, 0
49009, 9847, 1, 0, 0
50010, 9726, 1, 0, 0
51010, 9767, 1, 0, 0
52010, 9560, 1, 0, 0
53010, 9877, 1, 0, 0
54010, 9603, 1, 0, 0
55010, 9507, 1, 0, 0
56010, 9749, 1, 0, 0
57010, 9736, 1, 0, 0
58010, 9655, 1, 0, 0
59010, 9535, 1, 0, 0
